word,lemma,lemma_log_freq,RE,word_log_freq,root_wholeSuffix_TP,root_firstSuffix_TP,mood_tense_TP,tense_person_TP,root_lastSuffix_TP
duraba,durar,5.126332753683983,0.5457926903520396,3.4763968267253302,0.6781449807812525,0.709295843600874,,0.97624971162829,0.914615708156199
durabas,durar,5.126332753683983,0.5457926903520396,1.0413926851582251,0.20314574476458627,0.709295843600874,,0.7217199903468794,0.5891855694457521
durábamos,durar,5.126332753683983,0.5457926903520396,1.1760912590556813,0.22942156031726504,0.709295843600874,,0.7756824360345344,0.5702407859750265
duraban,durar,5.126332753683983,0.5457926903520396,3.1156105116742996,0.6077659530461225,0.709295843600874,,0.9120103763423913,0.8399884456257929
duraría,durar,5.126332753683983,0.5457926903520396,3.351989455435632,0.6538766827078795,0.8888764219161464,0.7970511254410442,0.9801186517326936,0.914615708156199
durarías,durar,5.126332753683983,0.5457926903520396,0.9030899869919435,0.17616686828277928,0.8888764219161464,0.7970511254410442,0.7588480383651803,0.5891855694457521
duraríamos,durar,5.126332753683983,0.5457926903520396,1.5440680443502757,0.30120324187708025,0.8888764219161464,0.7970511254410442,0.8093677774324042,0.5702407859750265
durarían,durar,5.126332753683983,0.5457926903520396,2.513217600067939,0.49025643102505245,0.8888764219161464,0.7970511254410442,0.9005953426260963,0.8399884456257929
duraré,durar,5.126332753683983,0.5457926903520396,1.6127838567197355,0.3146077194385647,0.8888764219161464,,0.7156535719579533,0.5698354342172725
durarás,durar,5.126332753683983,0.5457926903520396,1.6532125137753437,0.3224941870164945,0.8888764219161464,,0.6796042104226108,0.5891855694457521
durará,durar,5.126332753683983,0.5457926903520396,3.899492196138132,0.7606787119575498,0.8888764219161464,,0.846413247917702,0.7606787119575498
duraremos,durar,5.126332753683983,0.5457926903520396,1.462397997898956,0.285271766029628,0.8888764219161464,,0.7220489182901982,0.5702407859750265
durarán,durar,5.126332753683983,0.5457926903520396,3.2166935991697545,0.6274843545530892,0.8888764219161464,,0.7707207647920508,0.8399884456257929
charlaba,charlar,4.233427650667445,0.6811574535895981,2.519827993775719,0.5952216978075534,0.680491986635605,,0.97624971162829,0.7818855100143322
charlabas,charlar,4.233427650667445,0.6811574535895981,0.7781512503836436,0.18381116074133447,0.680491986635605,,0.7217199903468794,0.731208443313094
charlábamos,charlar,4.233427650667445,0.6811574535895981,2.307496037913213,0.5450656603401293,0.680491986635605,,0.7756824360345344,0.7763110039754283
charlaban,charlar,4.233427650667445,0.6811574535895981,2.342422680822206,0.5533158646169135,0.680491986635605,,0.9120103763423913,0.6981784015719532
charlaría,charlar,4.233427650667445,0.6811574535895981,0.7781512503836436,0.18381116074133447,1.0,0.7970511254410442,0.9801186517326936,0.7818855100143322
charlarías,charlar,4.233427650667445,0.6811574535895981,0.0,0.0,1.0,0.7970511254410442,0.7588480383651803,0.731208443313094
charlaríamos,charlar,4.233427650667445,0.6811574535895981,0.47712125471966244,0.11270329720750966,1.0,0.7970511254410442,0.8093677774324042,0.7763110039754283
charlarían,charlar,4.233427650667445,0.6811574535895981,0.3010299956639812,0.0711078635338248,1.0,0.7970511254410442,0.9005953426260963,0.6981784015719532
charlaré,charlar,4.233427650667445,0.6811574535895981,1.3010299956639813,0.30732307317425395,1.0,,0.7156535719579533,0.5153846405290006
charlarás,charlar,4.233427650667445,0.6811574535895981,0.0,0.0,1.0,,0.6796042104226108,0.731208443313094
charlará,charlar,4.233427650667445,0.6811574535895981,1.5185139398778875,0.3586960886501692,1.0,,0.846413247917702,0.3586960886501692
charlaremos,charlar,4.233427650667445,0.6811574535895981,1.9395192526186185,0.45814394685895543,1.0,,0.7220489182901982,0.7763110039754283
charlarán,charlar,4.233427650667445,0.6811574535895981,1.2304489213782739,0.2906507499152089,1.0,,0.7707207647920508,0.6981784015719532
obraba,obrar,4.400727897737122,0.5245257492306112,2.6232492903979003,0.5960944078698411,0.6356374685808424,,0.97624971162829,0.7750867442728512
obrabas,obrar,4.400727897737122,0.5245257492306112,0.47712125471966244,0.1084187129508736,0.6356374685808424,,0.7217199903468794,0.6345295038427886
obrábamos,obrar,4.400727897737122,0.5245257492306112,0.0,0.0,0.6356374685808424,,0.7756824360345344,0.6184910038660005
obraban,obrar,4.400727897737122,0.5245257492306112,2.3010299956639813,0.522874862780583,0.6356374685808424,,0.9120103763423913,0.8070142213971125
obraría,obrar,4.400727897737122,0.5245257492306112,2.0681858617461617,0.4699644944668436,0.9352793486717241,0.7970511254410442,0.9801186517326936,0.7750867442728512
obrarías,obrar,4.400727897737122,0.5245257492306112,0.3010299956639812,0.06840459184462926,0.9352793486717241,0.7970511254410442,0.7588480383651803,0.6345295038427886
obraríamos,obrar,4.400727897737122,0.5245257492306112,0.9030899869919435,0.20521377553388778,0.9352793486717241,0.7970511254410442,0.8093677774324042,0.6184910038660005
